经度_84,纬度_84,名称
110.32443417735662,20.058821144941852,海南大学
110.32776313632063,20.031859488781784,海口技师学院
110.48479657282435,19.96587127771506,海口经济学院
110.32937293598366,20.062800015330993,海南大学法学院
110.32989177857249,20.062827053644693,海南大学理学院
109.48997637455862,19.51019925579931,海南大学林学院
110.32989177857249,20.062827053644693,海南大学管理学院
110.31895136423283,20.059608252748976,海南大学海洋学院
110.32989177857249,20.062827053644693,海南大学经济学院
110.32194951090713,20.063027358715836,海南大学园艺学院
110.3656435458607,20.01304910032316,海南工商职业学院
109.53491755518031,18.23229228958776,海南广播电视大学
110.32937193836345,20.06279701475113,海南大学外国语学院
110.32194951090713,20.063027358715836,海南大学动物科技学院
110.33034992752845,20.059582510666633,海南大学机电工程学院
110.32364476157072,19.985177603805898,海南大学热带作物学院
110.33028889593912,20.062799278513594,海南大学人文传播学院
110.32872450618846,20.060413279020832,海南大学应用科技学院
110.31873978481934,20.06055343444303,海南大学植物保护学院
110.4078873922991,20.017602308332812,海南海洋与渔业科学院
110.33010732220187,20.062374272059873,海南大学马克思主义学院
110.32111458716456,20.058909556451425,海南大学美术与设计学院
110.31873978481934,20.06055343444303,海南大学生态与环境学院
110.3211056287937,20.058492229219134,海南大学音乐与舞蹈学院
110.31928954709346,20.060881659873363,海南大学生命科学与药学院
110.32281295336549,20.055889822344515,海南大学土木建筑工程学院
110.32030222533734,20.062218834258935,海南大学材料科学与工程学院
110.40404866900451,20.044773418043558,海南大学化学工程与技术学院
110.32030222533734,20.062218834258935,海南大学食品科学与工程学院
110.32030222533734,20.062218834258935,海南大学信息与通信工程学院
110.32977006995122,20.062436962828922,海南大学政治与公共管理学院
110.32626699354795,20.060460998590777,海南大学计算机与网络空间安全学院
109.48861146761237,19.509656941166767,儋州市农林科学院
110.00507337437865,19.7247774602417,澄迈中学
110.32982043269563,20.053308334374435,海口华兴学校
110.36242836434184,20.020483396387938,海口实验中学
109.55645970014874,19.517205599222876,海南东坡学校
110.31913895394266,20.020898848195383,海南华侨中学
109.45382756690614,19.22669076503682,白沙县白沙中学
110.00647203328947,19.743574208794243,澄迈县第二中学
109.92763160456319,19.836537101798974,澄迈县福山中学
109.30413995190357,19.449453064371248,儋州市八一中学
109.57812857431097,19.514084878682162,儋州市第二中学
109.60565496862885,19.523931624926593,儋州市第十小学
109.44919309673972,19.710969716368968,儋州市东成中学
110.3178832511341,19.69999445090142,定安县定安中学
108.64604818659684,19.10006080311815,东方市第一小学
110.33406365100241,20.041346451036688,海口市第九小学
110.34779076543629,20.035782311997252,海口市第十中学
110.35557559265763,20.03686074072972,海口市第四中学
110.33136066327724,20.040702994536048,海口市第一中学
110.34437785298624,20.072508481397527,海口市海景学校
110.32660779749592,20.03032041406464,海口市龙华小学
110.36242836434184,20.020483396387938,海口市实验中学
109.57211353913725,19.552668159113637,儋州黄冈实验学校
109.21590383909147,19.702643854729406,儋州市白马井中学
110.27909451990149,19.981294314969087,海口旅游职业学校
110.46212371089734,19.983623638841056,海口市桂林洋中学
110.17866435044547,20.051615145602746,海口市五源河学校
109.56609074624724,19.509886401100992,儋州市那大第五小学
109.61109034281968,19.52947074445321,儋州市思源高级中学
110.29231689525723,20.025244710215837,海口市滨海第九小学
110.31488738277919,20.020034172567108,海口市第二十六小学
110.27097589861955,20.01992996501194,海口市第二十七小学
